neo_id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,diameter_min_km,diameter_max_km,velocity_kms,miss_distance_km,approach_date,approach_date_full,orbiting_body,is_hazardous,is_sentry,created_at
54099951,54099951,(2020 XZ4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54099951,24.89,0.0279611466,0.0625230245,7.1126873159,61037947.15033314,2025-10-30,2025-Oct-30 13:44,Earth,false,false,2025-10-03 19:19:00.869599
54100694,54100694,(2020 YT),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54100694,25.51,0.0210162379,0.0469937366,9.9999885177,7841456.756560657,2025-11-22,2025-Nov-22 09:59,Earth,false,false,2025-10-03 19:19:03.299427
54101717,54101717,(2020 YB3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54101717,26.76,0.0118182991,0.0264265201,14.1555974019,64000008.164002985,2025-10-09,2025-Oct-09 21:38,Earth,false,false,2025-10-03 13:34:50.502954
54101719,54101719,(2020 YG3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54101719,27.02,0.0104846751,0.0234444462,14.2600544959,33813631.73342152,2025-11-28,2025-Nov-28 03:28,Earth,false,false,2025-10-03 19:19:02.427056
54105514,54105514,(2021 AT5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54105514,27.53,0.0082900085,0.0185370226,15.7503390422,47290187.37264273,2025-11-19,2025-Nov-19 16:26,Earth,false,false,2025-10-03 19:19:02.427056
54106538,54106538,(2021 BW1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54106538,26.5,0.0133215567,0.0297879063,4.5914573144,30906143.57393406,2025-10-23,2025-Oct-23 02:47,Earth,false,false,2025-10-03 19:19:00.208277
54111254,54111254,(2021 CR3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54111254,22.8,0.0732073989,0.1636967205,14.9165997403,40375330.727311574,2025-10-30,2025-Oct-30 01:20,Earth,false,false,2025-10-03 19:19:00.869599
54117602,54117602,(2021 CD8),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54117602,28.55,0.0051826869,0.0115888403,6.2525252386,18882811.56346685,2025-11-27,2025-Nov-27 04:58,Earth,false,true,2025-10-03 19:19:03.299427
54131736,54131736,(2021 ED5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54131736,20.16,0.2469192656,0.5521282628,22.1815270319,10897501.480154408,2025-10-06,2025-Oct-06 06:08,Earth,true,false,2025-10-03 13:34:50.502954
54135431,54135431,(2021 GV3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54135431,25.24,0.0237987955,0.0532157244,14.8788406057,56788126.7130417,2025-11-26,2025-Nov-26 17:25,Earth,false,false,2025-10-03 19:19:02.427056
